Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133000,0.000016,0.000359,0.000515,1.000000,0.327174,-0.026604,0.320702,0.322965,-0.024930,0.270581,0.318994,-0.027941,0.331704,0.339565,-0.026941,0.359820,-0.000415,-0.000011,0.000055,1.000000,0.106269,-0.068431,0.305166,0.081291,-0.055360,0.297925,0.121524,-0.073960,0.272472,0.115990,-0.075974,0.345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322966,-0.024930,0.270584,0.318993,-0.027942,0.331707,0.339563,-0.026941,0.359810,0.081295,-0.055362,0.297924,0.121521,-0.073958,0.272469,0.115989,-0.075974,0.345105
17,0.142000,-0.000108,0.000140,-0.000600,1.000000,0.327166,-0.026620,0.320694,0.322982,-0.024949,0.270571,0.318977,-0.027936,0.331693,0.339538,-0.026975,0.359818,0.000003,0.000128,0.000077,1.000000,0.106278,-0.068449,0.305176,0.081298,-0.055373,0.297952,0.121524,-0.073950,0.272473,0.116011,-0.076025,0.345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322977,-0.024949,0.270563,0.318997,-0.027935,0.331705,0.339514,-0.026977,0.359813,0.081301,-0.055374,0.297941,0.121514,-0.073945,0.272485,0.116015,-0.076027,0.345104
18,0.150000,0.000080,0.000224,-0.000232,1.000000,0.327178,-0.026611,0.320693,0.322984,-0.024924,0.270571,0.318992,-0.027937,0.331693,0.339557,-0.026971,0.359815,-0.000227,0.000116,0.000089,1.000000,0.106280,-0.068460,0.305168,0.081300,-0.055388,0.297938,0.121528,-0.073975,0.272468,0.116012,-0.076017,0.345098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322980,-0.024924,0.270573,0.319004,-0.027936,0.331690,0.339545,-0.026972,0.359818,0.081309,-0.055391,0.297925,0.121511,-0.073968,0.272481,0.116015,-0.076019,0.345100
19,0.158000,-0.000118,0.000207,-0.000271,1.000000,0.327196,-0.026604,0.320680,0.323004,-0.024937,0.270557,0.319009,-0.027925,0.331680,0.339574,-0.026950,0.359802,0.000393,0.000006,0.000102,1.000000,0.106295,-0.068438,0.305172,0.081316,-0.055357,0.297952,0.121550,-0.073912,0.272468,0.116019,-0.076044,0.345095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323002,-0.024936,0.270542,0.319018,-0.027925,0.331695,0.339562,-0.026951,0.359802,0.081303,-0.055350,0.297936,0.121550,-0.073912,0.272475,0.116029,-0.076050,0.345104
20,0.167000,-0.000170,0.000156,0.000040,1.000000,0.327182,-0.026616,0.320676,0.322994,-0.024956,0.270553,0.318995,-0.027941,0.331675,0.339556,-0.026950,0.359799,0.000116,-0.000150,0.000211,1.000000,0.106286,-0.068448,0.305167,0.081307,-0.055377,0.297932,0.121552,-0.073937,0.272471,0.115999,-0.076030,0.345097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322989,-0.024956,0.270544,0.319009,-0.027940,0.331676,0.339543,-0.026952,0.359812,0.081303,-0.055375,0.297934,0.121557,-0.073939,0.272467,0.115999,-0.076030,0.345098
21,0.175000,-0.000084,0.000061,-0.001248,0.999999,0.327180,-0.026613,0.320690,0.323006,-0.024934,0.270566,0.318988,-0.027920,0.331687,0.339546,-0.026986,0.359816,-0.000056,-0.000129,0.000801,1.000000,0.106275,-0.068450,0.305163,0.081280,-0.055411,0.297925,0.121546,-0.073932,0.272469,0.115998,-0.076007,0.345096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323000,-0.024935,0.270563,0.319008,-0.027917,0.331689,0.339523,-0.026989,0.359819,0.081276,-0.055409,0.297927,0.121550,-0.073934,0.272474,0.115999,-0.076007,0.345091
22,0.183000,0.000026,0.000202,0.000250,1.000000,0.327173,-0.026609,0.320669,0.322980,-0.024931,0.270547,0.318988,-0.027942,0.331669,0.339550,-0.026953,0.359792,-0.000070,-0.000123,0.000646,1.000000,0.106269,-0.068444,0.305150,0.081278,-0.055398,0.297912,0.121539,-0.073932,0.272455,0.115991,-0.076003,0.345083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322977,-0.024931,0.270533,0.318994,-0.027942,0.331678,0.339544,-0.026954,0.359800,0.081286,-0.055402,0.297912,0.121531,-0.073930,0.272478,0.115990,-0.076002,0.345069
23,0.192000,0.000069,0.000197,-0.000540,1.000000,0.327194,-0.026586,0.320652,0.323004,-0.024898,0.270530,0.319007,-0.027908,0.331652,0.339571,-0.026954,0.359775,0.000218,-0.000043,0.000153,1.000000,0.106296,-0.068430,0.305151,0.081317,-0.055355,0.297925,0.121555,-0.073914,0.272451,0.116016,-0.076022,0.345078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322998,-0.024898,0.270516,0.319024,-0.027906,0.331661,0.339552,-0.026956,0.359782,0.081303,-0.055348,0.297927,0.121567,-0.073922,0.272476,0.116020,-0.076022,0.345062
24,0.200000,-0.000190,0.000159,-0.000868,1.000000,0.327201,-0.026605,0.320646,0.323016,-0.024940,0.270523,0.319012,-0.027915,0.331645,0.339575,-0.026960,0.359769,0.000181,-0.000069,0.000081,1.000000,0.106299,-0.068430,0.305166,0.081322,-0.055352,0.297937,0.121559,-0.073919,0.272467,0.116017,-0.076020,0.345093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323013,-0.024940,0.270513,0.319019,-0.027915,0.331646,0.339570,-0.026962,0.359785,0.081310,-0.055345,0.297936,0.121569,-0.073924,0.272474,0.116021,-0.076022,0.345090
25,0.208000,0.000048,0.000209,0.000261,1.000000,0.327181,-0.026602,0.320655,0.322987,-0.024922,0.270533,0.318996,-0.027936,0.331654,0.339560,-0.026948,0.359777,0.000028,-0.000210,0.000393,1.000000,0.106286,-0.068428,0.305157,0.081303,-0.055367,0.297917,0.121558,-0.073917,0.272464,0.115997,-0.075999,0.345090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322979,-0.024923,0.270526,0.319012,-0.027934,0.331644,0.339547,-0.026950,0.359805,0.081297,-0.055364,0.297923,0.121567,-0.073922,0.272469,0.115997,-0.075999,0.345082
26,0.217000,-0.000000,0.000151,0.000509,1.000000,0.327176,-0.026603,0.320671,0.322987,-0.024930,0.270549,0.318990,-0.027940,0.331670,0.339550,-0.026939,0.359795,-0.000203,-0.000075,0.000084,1.000000,0.106275,-0.068438,0.305149,0.081298,-0.055365,0.297910,0.121535,-0.073951,0.272455,0.115992,-0.075997,0.345083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322983,-0.024932,0.270568,0.319000,-0.027938,0.331651,0.339541,-0.026940,0.359795,0.081305,-0.055367,0.297901,0.121522,-0.073946,0.272477,0.115995,-0.075998,0.345077
27,0.225000,-0.000093,0.000229,-0.000500,1.000000,0.327176,-0.026593,0.320681,0.322983,-0.024922,0.270559,0.318990,-0.027912,0.331681,0.339556,-0.026947,0.359803,0.000221,-0.000034,0.000091,1.000000,0.106289,-0.068423,0.305172,0.081311,-0.055344,0.297946,0.121547,-0.073908,0.272472,0.116009,-0.076016,0.345099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322979,-0.024922,0.270559,0.319001,-0.027910,0.331680,0.339543,-0.026948,0.359804,0.081319,-0.055348,0.297943,0.121537,-0.073904,0.272476,0.116009,-0.076015,0.345099
28,0.233000,-0.000077,0.000275,-0.000629,1.000000,0.327195,-0.026593,0.320685,0.322998,-0.024918,0.270563,0.319009,-0.027909,0.331686,0.339578,-0.026951,0.359806,0.000186,-0.000110,0.000145,1.000000,0.106294,-0.068424,0.305179,0.081316,-0.055349,0.297949,0.121557,-0.073911,0.272482,0.116009,-0.076013,0.345108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322994,-0.024919,0.270569,0.319017,-0.027908,0.331678,0.339570,-0.026952,0.359810,0.081313,-0.055347,0.297944,0.121556,-0.073911,0.272487,0.116011,-0.076015,0.345108
29,0.242000,-0.000106,0.000328,-0.000056,1.000000,0.327207,-0.026576,0.320673,0.323002,-0.024909,0.270552,0.319024,-0.027901,0.331675,0.339594,-0.026918,0.359793,-0.000114,0.000030,-0.000011,1.000000,0.106295,-0.068422,0.305177,0.081319,-0.055343,0.297945,0.121547,-0.073933,0.272478,0.116019,-0.075990,0.345107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322999,-0.024909,0.270544,0.319025,-0.027901,0.331668,0.339598,-0.026918,0.359817,0.081314,-0.055341,0.297945,0.121550,-0.073935,0.272482,0.116020,-0.075990,0.345104
30,0.250000,-0.000226,0.000123,-0.000849,1.000000,0.327187,-0.026600,0.320686,0.323006,-0.024939,0.270563,0.318997,-0.027910,0.331685,0.339558,-0.026952,0.359811,-0.000055,0.000030,-0.000294,1.000000,0.106290,-0.068433,0.305173,0.081322,-0.055339,0.297943,0.121540,-0.073948,0.272473,0.116010,-0.076011,0.345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323002,-0.024939,0.270558,0.319009,-0.027909,0.331689,0.339544,-0.026953,0.359812,0.081333,-0.055345,0.297942,0.121529,-0.073944,0.272482,0.116007,-0.076010,0.345098
31,0.258000,-0.000139,0.000079,-0.000241,1.000000,0.327184,-0.026608,0.320679,0.323005,-0.024943,0.270555,0.318995,-0.027929,0.331677,0.339552,-0.026951,0.359805,0.000479,-0.000067,0.000089,1.000000,0.106292,-0.068436,0.305160,0.081315,-0.055353,0.297939,0.121552,-0.073905,0.272458,0.116010,-0.076049,0.345083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323000,-0.024943,0.270547,0.319009,-0.027928,0.331679,0.339539,-0.026953,0.359816,0.081303,-0.055346,0.297925,0.121552,-0.073906,0.272481,0.116020,-0.076054,0.345080
32,0.267000,-0.000123,0.000104,-0.000305,1.000000,0.327183,-0.026593,0.320677,0.323002,-0.024926,0.270554,0.318994,-0.027914,0.331676,0.339553,-0.026939,0.359802,-0.000038,0.000040,0.000145,1.000000,0.106273,-0.068438,0.305172,0.081293,-0.055366,0.297943,0.121527,-0.073939,0.272472,0.116000,-0.076010,0.345101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322996,-0.024926,0.270544,0.319007,-0.027912,0.331677,0.339540,-0.026941,0.359816,0.081290,-0.055364,0.297940,0.121527,-0.073940,0.272471,0.116002,-0.076011,0.345105
33,0.275000,-0.000210,0.000391,-0.000919,1.000000,0.327192,-0.026596,0.320685,0.322984,-0.024932,0.270564,0.319008,-0.027905,0.331688,0.339584,-0.026951,0.359803,0.000115,0.000012,-0.000200,1.000000,0.106287,-0.068435,0.305176,0.081316,-0.055343,0.297950,0.121539,-0.073936,0.272476,0.116007,-0.076025,0.345104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322978,-0.024932,0.270554,0.319018,-0.027903,0.331685,0.339577,-0.026952,0.359824,0.081315,-0.055341,0.297929,0.121525,-0.073931,0.272491,0.116016,-0.076030,0.345111
34,0.283000,-0.000147,0.000233,0.000281,1.000000,0.327196,-0.026598,0.320682,0.322999,-0.024938,0.270560,0.319011,-0.027928,0.331683,0.339576,-0.026928,0.359804,0.000192,-0.000091,-0.000110,1.000000,0.106302,-0.068438,0.305176,0.081330,-0.055350,0.297947,0.121561,-0.073931,0.272478,0.116014,-0.076032,0.345104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322999,-0.024938,0.270559,0.319008,-0.027928,0.331679,0.339582,-0.026928,0.359813,0.081319,-0.055343,0.297927,0.121557,-0.073930,0.272486,0.116025,-0.076038,0.345115
35,0.292000,-0.000179,0.000119,-0.001029,1.000000,0.327190,-0.026609,0.320685,0.323009,-0.024941,0.270561,0.319000,-0.027917,0.331683,0.339560,-0.026969,0.359809,0.000401,-0.000220,0.000379,1.000000,0.106298,-0.068430,0.305171,0.081316,-0.055364,0.297941,0.121571,-0.073896,0.272475,0.116008,-0.076032,0.345099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323010,-0.024941,0.270562,0.318994,-0.027917,0.331678,0.339568,-0.026968,0.359818,0.081301,-0.055355,0.297917,0.121569,-0.073894,0.272477,0.116021,-0.076040,0.345116
36,0.300000,-0.000218,0.000210,-0.001739,0.999998,0.327181,-0.026629,0.320683,0.322993,-0.024960,0.270560,0.318990,-0.027924,0.331683,0.339558,-0.027004,0.359805,-0.000060,-0.000006,0.000648,1.000000,0.106269,-0.068436,0.305176,0.081276,-0.055389,0.297944,0.121531,-0.073923,0.272477,0.116000,-0.075996,0.345106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322986,-0.024960,0.270555,0.319008,-0.027923,0.331680,0.339540,-0.027006,0.359817,0.081270,-0.055385,0.297937,0.121532,-0.073924,0.272492,0.116006,-0.075998,0.345102
37,0.308000,-0.000239,0.000217,-0.000748,1.000000,0.327184,-0.026611,0.320684,0.322993,-0.024951,0.270562,0.318997,-0.027922,0.331685,0.339562,-0.026959,0.359807,0.000000,0.000022,0.000444,1.000000,0.106287,-0.068435,0.305189,0.081299,-0.055378,0.297960,0.121544,-0.073925,0.272489,0.116017,-0.076004,0.345118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322992,-0.024951,0.270548,0.318997,-0.027922,0.331694,0.339563,-0.026959,0.359815,0.081285,-0.055370,0.297945,0.121546,-0.073926,0.272496,0.116026,-0.076009,0.345125
38,0.317000,0.000087,0.000158,0.000484,1.000000,0.327188,-0.026604,0.320700,0.322999,-0.024923,0.270578,0.319003,-0.027943,0.331699,0.339563,-0.026948,0.359824,0.000148,-0.000110,0.000377,1.000000,0.106288,-0.068430,0.305172,0.081304,-0.055367,0.297941,0.121553,-0.073912,0.272475,0.116006,-0.076011,0.345101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323000,-0.024923,0.270582,0.318995,-0.027943,0.331687,0.339575,-0.026947,0.359836,0.081299,-0.055363,0.297927,0.121548,-0.073909,0.272487,0.116013,-0.076015,0.345105
39,0.325000,-0.000146,0.000210,-0.000570,1.000000,0.327192,-0.026606,0.320699,0.323001,-0.024939,0.270577,0.319005,-0.027922,0.331700,0.339570,-0.026957,0.359822,0.000077,0.000168,-0.000194,1.000000,0.106286,-0.068433,0.305190,0.081313,-0.055342,0.297970,0.121527,-0.073937,0.272485,0.116018,-0.076020,0.345115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322996,-0.024939,0.270571,0.319007,-0.027921,0.331686,0.339575,-0.026958,0.359855,0.081304,-0.055337,0.297955,0.121526,-0.073936,0.272485,0.116026,-0.076025,0.345126
40,0.333000,-0.000103,0.000246,-0.000996,1.000000,0.327200,-0.026618,0.320678,0.323006,-0.024943,0.270555,0.319012,-0.027928,0.331678,0.339580,-0.026983,0.359799,0.000063,0.000188,0.000215,1.000000,0.106287,-0.068452,0.305166,0.081302,-0.055382,0.297947,0.121531,-0.073944,0.272461,0.116026,-0.076030,0.345091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323003,-0.024942,0.270539,0.319014,-0.027927,0.331679,0.339583,-0.026984,0.359825,0.081299,-0.055379,0.297930,0.121523,-0.073940,0.272466,0.116034,-0.076034,0.345101
41,0.342000,-0.000059,0.000186,-0.000480,1.000000,0.327215,-0.026599,0.320674,0.323026,-0.024923,0.270552,0.319028,-0.027918,0.331674,0.339591,-0.026954,0.359797,-0.000123,0.000151,-0.000023,1.000000,0.106290,-0.068438,0.305177,0.081312,-0.055358,0.297951,0.121534,-0.073949,0.272475,0.116023,-0.076005,0.345105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323024,-0.024923,0.270542,0.319027,-0.027918,0.331670,0.339597,-0.026955,0.359819,0.081315,-0.055358,0.297921,0.121511,-0.073939,0.272485,0.116034,-0.076012,0.345123
42,0.350000,-0.000020,0.000198,-0.000243,1.000000,0.327207,-0.026610,0.320687,0.323016,-0.024933,0.270565,0.319021,-0.027934,0.331687,0.339585,-0.026963,0.359810,-0.000068,-0.000182,0.000646,1.000000,0.106294,-0.068440,0.305174,0.081303,-0.055394,0.297933,0.121567,-0.073928,0.272481,0.116011,-0.075999,0.345108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323010,-0.024933,0.270556,0.319030,-0.027933,0.331681,0.339579,-0.026964,0.359834,0.081308,-0.055395,0.297921,0.121555,-0.073923,0.272492,0.116014,-0.076001,0.345111
43,0.358000,-0.000109,0.000211,0.000186,1.000000,0.327218,-0.026597,0.320692,0.323025,-0.024933,0.270570,0.319033,-0.027926,0.331692,0.339597,-0.026932,0.359814,0.000001,-0.000062,0.000137,1.000000,0.106307,-0.068427,0.305167,0.081328,-0.055354,0.297934,0.121567,-0.073925,0.272470,0.116026,-0.076001,0.345098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323029,-0.024931,0.270550,0.319015,-0.027929,0.331701,0.339620,-0.026931,0.359833,0.081317,-0.055347,0.297913,0.121563,-0.073924,0.272477,0.116037,-0.076008,0.345110
44,0.367000,-0.000175,0.000316,-0.000569,1.000000,0.327215,-0.026597,0.320698,0.323014,-0.024933,0.270576,0.319031,-0.027912,0.331699,0.339601,-0.026946,0.359817,-0.000056,-0.000212,0.000426,1.000000,0.106305,-0.068423,0.305168,0.081321,-0.055365,0.297926,0.121578,-0.073917,0.272476,0.116016,-0.075987,0.345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323013,-0.024932,0.270565,0.319031,-0.027912,0.331706,0.339601,-0.026946,0.359824,0.081323,-0.055365,0.297913,0.121569,-0.073911,0.272464,0.116020,-0.075990,0.345120
45,0.375000,0.000037,0.000159,-0.000021,1.000000,0.327200,-0.026617,0.320718,0.323012,-0.024937,0.270596,0.319013,-0.027946,0.331717,0.339574,-0.026969,0.359842,-0.000074,-0.000050,0.000101,1.000000,0.106302,-0.068424,0.305177,0.081324,-0.055351,0.297943,0.121561,-0.073929,0.272481,0.116021,-0.075994,0.345109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323008,-0.024937,0.270600,0.319020,-0.027945,0.331708,0.339568,-0.026970,0.359851,0.081319,-0.055347,0.297920,0.121551,-0.073924,0.272475,0.116031,-0.076000,0.345131
46,0.383000,0.000015,0.000191,-0.000470,1.000000,0.327200,-0.026633,0.320717,0.323011,-0.024950,0.270595,0.319013,-0.027954,0.331716,0.339577,-0.026994,0.359840,-0.000145,-0.000010,0.000225,1.000000,0.106288,-0.068445,0.305187,0.081306,-0.055379,0.297953,0.121545,-0.073951,0.272490,0.116012,-0.076006,0.345119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323007,-0.024950,0.270590,0.319016,-0.027953,0.331706,0.339579,-0.026995,0.359864,0.081310,-0.055379,0.297922,0.121523,-0.073939,0.272482,0.116023,-0.076014,0.345150
47,0.392000,0.000044,0.000084,-0.000974,1.000000,0.327173,-0.026646,0.320718,0.322996,-0.024956,0.270595,0.318983,-0.027959,0.331716,0.339541,-0.027022,0.359844,0.000122,-0.000124,0.000514,1.000000,0.106285,-0.068435,0.305189,0.081297,-0.055379,0.297956,0.121553,-0.073914,0.272492,0.116004,-0.076011,0.345119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322997,-0.024956,0.270597,0.318980,-0.027959,0.331713,0.339545,-0.027021,0.359846,0.081285,-0.055371,0.297928,0.121546,-0.073910,0.272482,0.116018,-0.076020,0.345148
48,0.400000,0.000180,0.000275,0.000939,1.000000,0.327188,-0.026615,0.320705,0.322986,-0.024928,0.270584,0.319007,-0.027963,0.331705,0.339572,-0.026955,0.359825,0.000064,0.000169,-0.000154,1.000000,0.106277,-0.068434,0.305182,0.081303,-0.055346,0.297962,0.121519,-0.073938,0.272478,0.116010,-0.076019,0.345107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322984,-0.024928,0.270581,0.319004,-0.027963,0.331697,0.339579,-0.026955,0.359844,0.081293,-0.055340,0.297947,0.121517,-0.073938,0.272493,0.116019,-0.076024,0.345110
49,0.408000,-0.000066,0.000208,-0.000558,1.000000,0.327200,-0.026631,0.320706,0.323009,-0.024956,0.270584,0.319013,-0.027949,0.331706,0.339577,-0.026988,0.359829,0.000284,0.000043,0.000127,1.000000,0.106287,-0.068447,0.305178,0.081308,-0.055369,0.297958,0.121540,-0.073927,0.272475,0.116015,-0.076044,0.345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323010,-0.024956,0.270583,0.319004,-0.027949,0.331700,0.339590,-0.026987,0.359840,0.081288,-0.055358,0.297936,0.121543,-0.073929,0.272478,0.116028,-0.076052,0.345117
50,0.417000,-0.000124,0.000122,-0.000605,1.000000,0.327181,-0.026617,0.320693,0.322999,-0.024947,0.270570,0.318992,-0.027933,0.331691,0.339552,-0.026971,0.359817,0.000068,-0.000086,0.000677,1.000000,0.106271,-0.068441,0.305168,0.081278,-0.055394,0.297935,0.121538,-0.073919,0.272470,0.115996,-0.076010,0.345097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322992,-0.024948,0.270568,0.319013,-0.027931,0.331691,0.339528,-0.026973,0.359820,0.081263,-0.055385,0.297924,0.121544,-0.073922,0.272480,0.116004,-0.076015,0.345100
51,0.425000,-0.000090,0.000340,-0.000130,1.000000,0.327186,-0.026616,0.320701,0.322980,-0.024947,0.270580,0.319003,-0.027941,0.331703,0.339574,-0.026961,0.359820,0.000247,-0.000169,0.000025,1.000000,0.106292,-0.068429,0.305170,0.081318,-0.055347,0.297938,0.121558,-0.073915,0.272473,0.116001,-0.076025,0.345098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322977,-0.024948,0.270583,0.319006,-0.027940,0.331689,0.339575,-0.026962,0.359838,0.081307,-0.055340,0.297927,0.121561,-0.073916,0.272474,0.116008,-0.076029,0.345106
52,0.433000,-0.000084,0.000139,0.000087,1.000000,0.327201,-0.026614,0.320684,0.323015,-0.024946,0.270561,0.319015,-0.027942,0.331683,0.339574,-0.026954,0.359808,0.000224,0.000034,0.000072,1.000000,0.106287,-0.068445,0.305170,0.081308,-0.055366,0.297948,0.121540,-0.073931,0.272468,0.116012,-0.076039,0.345095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323013,-0.024946,0.270557,0.319013,-0.027942,0.331675,0.339580,-0.026954,0.359827,0.081304,-0.055363,0.297944,0.121540,-0.073932,0.272476,0.116015,-0.076040,0.345094
53,0.442000,-0.000096,0.000234,-0.000931,1.000000,0.327197,-0.026622,0.320675,0.323004,-0.024947,0.270553,0.319009,-0.027933,0.331675,0.339576,-0.026986,0.359797,0.000097,0.000077,0.000030,1.000000,0.106310,-0.068438,0.305171,0.081332,-0.055358,0.297947,0.121559,-0.073933,0.272468,0.116038,-0.076022,0.345097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323001,-0.024947,0.270550,0.319009,-0.027933,0.331661,0.339583,-0.026987,0.359826,0.081330,-0.055355,0.297920,0.121544,-0.073925,0.272464,0.116049,-0.076029,0.345122
